Policy Number,Years_Drv_Exp,Number_Vehicles,Average_Age,Gender_Dummy,Married_Dummy,Avg_Veh_Age,Fuel_Type_Dummy,Losses,Capped_Losses
171784,5,1,20.6,1,0,8.02,1,624,624
157566,39,1,65.1,0,1,8.02,0,188,188
184178,2,1,20.6,1,0,2.5,1,544,544
117590,0,1,20.6,1,1,12.97,0,326,326
103030,6,1,20.6,0,0,12.97,0,183,183
137592,47,1,65.1,0,1,12.97,0,156,156
175249,13,1,42.4,0,1,2.5,1,503,503
146920,25,1,42.4,1,1,12.97,0,263,263
199913,19,1,42.4,1,0,8.02,0,324,324
177817,12,1,42.4,0,0,8.02,0,312,312
176406,38,1,42.4,0,1,12.97,0,206,206
118396,39,1,42.4,0,1,12.97,0,368,368
179121,48,1,65.1,0,0,12.97,0,166,166
172178,5,1,20.6,1,0,12.97,0,452,452
127158,38,1,42.4,1,0,8.02,0,355,355
150804,17,1,42.4,1,0,8.02,0,375,375
196933,0,1,20.6,1,1,8.02,1,842,842
156935,4,1,20.6,1,1,12.97,1,566,566
187466,42,1,65.1,1,0,12.97,0,342,342
145693,29,1,42.4,0,1,8.02,0,407,407
161277,6,1,20.6,0,1,12.97,1,559,559
117086,0,1,20.6,1,0,12.97,1,547,547
103922,21,1,42.4,1,1,12.97,0,170,170
195112,4,1,20.6,1,0,2.5,1,1066,1066
192661,8,1,20.6,0,0,12.97,0,251,251
159443,36,1,42.4,0,0,12.97,0,189,189
178402,3,1,20.6,0,1,12.97,1,567,567
157188,0,1,20.6,0,0,2.5,0,345,345
120132,11,1,42.4,1,0,12.97,0,315,315
106186,2,1,20.6,0,1,12.97,1,656,656
196429,22,1,42.4,0,0,2.5,0,462,462
143546,26,1,42.4,0,1,8.02,0,378,378
190872,0,1,20.6,1,1,8.02,1,685,685
112220,2,1,20.6,0,0,12.97,0,144,144
119068,16,1,42.4,0,1,8.02,0,402,402
173295,46,1,65.1,0,1,2.5,0,253,253
173811,20,1,42.4,1,0,12.97,0,144,144
158441,0,1,20.6,0,1,12.97,0,227,227
139945,4,1,20.6,1,0,8.02,1,644,644
126513,0,1,20.6,1,0,8.02,0,325,325
157712,0,1,20.6,1,0,12.97,0,168,168
123461,2,1,20.6,0,0,12.97,0,164,164
109839,35,1,42.4,0,1,12.97,0,287,287
168710,5,1,42.4,0,0,8.02,0,279,279
180764,0,1,20.6,1,0,12.97,1,546,546
193331,34,1,42.4,1,1,12.97,0,258,258
187957,10,1,42.4,1,0,12.97,0,269,269
101592,1,1,20.6,0,0,12.97,0,387,387
122418,8,1,42.4,0,1,2.5,1,667,667
159787,12,1,42.4,0,1,12.97,0,364,364
171517,28,1,42.4,1,0,12.97,0,124,124
134430,5,1,20.6,1,1,12.97,1,727,727
173346,1,1,20.6,0,0,12.97,0,257,257
103987,50,1,65.1,1,0,8.02,0,97,97
124801,0,1,20.6,0,0,12.97,0,229,229
122734,49,1,65.1,0,0,8.02,0,118,118
132167,53,1,65.1,1,1,8.02,0,264,264
127432,11,1,42.4,1,1,2.5,1,836,836
104075,51,1,65.1,1,1,2.5,0,309,309
172126,9,1,42.4,1,0,12.97,0,184,184
179575,45,1,65.1,1,0,12.97,0,138,138
153354,8,1,20.6,0,1,12.97,1,672,672
191744,38,1,42.4,0,1,12.97,0,191,191
149303,6,1,20.6,0,0,8.02,0,446,446
186838,38,1,42.4,0,0,2.5,1,587,587
128867,0,1,20.6,1,0,12.97,0,201,201
186334,4,1,20.6,0,1,8.02,0,484,484
137799,31,1,42.4,1,0,8.02,0,361,361
138395,5,1,20.6,1,0,12.97,0,269,269
176582,26,1,42.4,0,1,8.02,0,383,383
171589,29,1,42.4,0,1,8.02,0,418,418
155642,45,1,65.1,1,0,12.97,0,124,124
165502,0,1,20.6,1,1,12.97,1,673,673
145115,33,1,42.4,0,0,8.02,0,293,293
190056,23,1,42.4,1,0,8.02,0,364,364
124975,0,1,20.6,1,1,12.97,1,703,703
122527,1,1,20.6,1,0,12.97,1,510,510
118246,47,1,65.1,0,1,8.02,0,42,42
172805,0,1,20.6,1,0,12.97,0,260,260
136848,21,1,42.4,0,1,8.02,0,386,386
127328,28,1,42.4,0,0,8.02,0,335,335
175335,25,1,42.4,1,1,12.97,0,275,275
191160,8,1,20.6,0,0,12.97,0,216,216
192099,14,1,42.4,1,1,8.02,0,405,405
113488,27,1,42.4,1,1,2.5,1,685,685
173817,20,1,42.4,0,1,12.97,0,151,151
132277,0,1,20.6,0,1,2.5,1,673,673
111157,9,1,42.4,0,0,12.97,0,219,219
171107,14,1,42.4,0,1,12.97,0,281,281
123153,40,1,65.1,0,0,2.5,0,146,146
159367,8,1,42.4,0,1,2.5,1,809,809
154713,0,1,20.6,1,1,12.97,1,1024,1024
110871,34,1,42.4,0,1,8.02,0,476,476
183774,3,1,20.6,1,0,12.97,0,412,412
165214,53,1,65.1,1,0,2.5,0,157,157
166545,27,1,42.4,0,0,12.97,0,284,284
122212,19,1,42.4,0,0,2.5,0,361,361
163233,48,1,65.1,1,0,8.02,0,239,239
113034,0,1,20.6,0,1,12.97,0,235,235
148057,16,1,42.4,1,1,8.02,1,523,523
159268,23,1,42.4,0,0,8.02,0,292,292
188144,6,1,20.6,0,0,8.02,0,225,225
161064,12,1,42.4,0,0,2.5,0,420,420
120281,5,1,42.4,0,1,8.02,0,396,396
185498,7,1,20.6,1,1,12.97,1,648,648
187994,0,1,20.6,1,1,12.97,0,390,390
124482,32,1,42.4,1,1,12.97,0,236,236
112786,30,1,42.4,1,1,12.97,0,156,156
136578,4,1,20.6,0,1,8.02,1,772,772
104486,3,1,20.6,1,1,12.97,1,739,739
144713,48,1,65.1,0,1,2.5,0,476,476
189009,47,1,65.1,0,1,8.02,0,47,47
185162,12,1,42.4,0,0,8.02,0,309,309
174649,7,1,20.6,0,1,8.02,1,615,615
169584,18,1,42.4,1,0,12.97,0,281,281
110968,0,1,20.6,0,1,2.5,1,659,659
121408,22,1,42.4,0,0,8.02,0,313,313
124458,24,1,42.4,0,0,8.02,0,338,338
160770,22,1,42.4,0,1,12.97,0,272,272
110330,0,1,20.6,1,0,12.97,0,443,443
100128,20,1,42.4,0,0,12.97,0,136,136
139445,9,1,42.4,1,0,2.5,1,669,669
157704,45,1,65.1,1,0,8.02,0,37,37
177554,4,1,20.6,1,0,12.97,1,695,695
127371,45,1,65.1,0,0,2.5,0,318,318
196535,47,1,65.1,1,1,8.02,0,230,230
127572,7,1,20.6,1,1,8.02,1,984,984
136937,11,1,42.4,1,1,2.5,1,676,676
139753,47,1,65.1,0,1,12.97,0,111,111
108007,5,1,20.6,0,1,12.97,0,447,447
156815,51,1,65.1,1,1,2.5,0,229,229
165686,5,1,20.6,0,0,12.97,0,442,442
108319,1,1,20.6,0,1,8.02,1,698,698
139548,48,1,65.1,1,1,8.02,0,236,236
163531,2,1,20.6,0,0,12.97,0,294,294
175274,51,1,65.1,1,0,2.5,0,345,345
106139,21,1,42.4,0,1,2.5,1,837,837
102284,25,1,42.4,0,1,12.97,0,340,340
139062,44,1,65.1,0,1,8.02,0,292,292
138558,25,1,42.4,1,0,8.02,0,399,399
113232,0,1,20.6,1,1,12.97,1,810,810
138682,38,1,42.4,1,0,8.02,0,356,356
108361,17,1,42.4,0,1,12.97,0,376,376
175469,52,1,65.1,1,0,12.97,0,163,163
113056,5,1,20.6,0,0,8.02,0,391,391
120187,7,1,42.4,0,0,8.02,0,284,284
160257,7,1,42.4,1,0,8.02,0,346,346
114349,15,1,42.4,0,1,8.02,0,402,402
106020,7,1,20.6,1,0,2.5,1,777,777
132596,35,1,42.4,1,0,2.5,1,645,645
181345,6,1,20.6,0,1,12.97,0,386,386
189925,33,1,42.4,1,0,8.02,0,321,321
179055,35,1,42.4,1,1,8.02,0,436,436
166104,11,1,42.4,0,0,8.02,0,303,303
108638,32,1,42.4,0,0,2.5,1,557,557
167470,0,1,20.6,0,1,2.5,1,1037,1037
120968,1,1,20.6,0,1,12.97,0,302,302
111755,52,1,65.1,1,1,12.97,0,117,117
140290,0,1,20.6,1,1,12.97,1,964,964
161043,42,1,65.1,1,1,12.97,0,96,96
167862,11,1,42.4,0,0,2.5,0,419,419
140188,43,1,65.1,0,1,2.5,0,342,342
130384,42,1,65.1,0,0,12.97,0,102,102
151474,46,1,65.1,0,1,12.97,0,41,41
124623,35,1,42.4,0,0,8.02,0,307,307
141182,27,1,42.4,0,1,2.5,1,687,687
105601,50,1,65.1,1,1,8.02,0,167,167
157387,47,1,65.1,1,0,2.5,1,551,551
179271,5,1,20.6,1,1,12.97,1,587,587
